feature,importance_gain
renal_history,0.13783656
text_pca_7,0.050161436
previous_hospital_admissions,0.049392335
diabetes_history,0.046477906
hr_arrival,0.04647405
text_pca_0,0.04186764
information_completeness,0.039805662
malignancy_history,0.036822144
temp_arrival,0.035832208
sbp_arrival,0.03574874
cardiovascular_history,0.03574853
text_pca_1,0.034094676
previous_icu_admissions,0.03313046
text_pca_6,0.032397013
sbp_current,0.029194934
dbp_current,0.028276933
text_pca_5,0.028062012
age,0.026269205
text_pca_2,0.026105266
sex,0.025826778
text_pca_4,0.024843352
previous_ed_visits,0.022186875
spo2_arrival,0.019563628
dbp_arrival,0.019133762
text_pca_3,0.018184733
rr_arrival,0.017625658
hr_current,0.01675963
rr_current,0.013785313
respiratory_history,0.013076431
neurological_history,0.0110001275
temp_current,0.004315959
sbp_delta,0.0
spo2_delta,0.0
hr_delta,0.0
rr_delta,0.0
rr_missing,0.0
spo2_current,0.0
hr_missing,0.0
sbp_missing,0.0
spo2_missing,0.0
time_elapsed_minutes,0.0
dbp_missing,0.0
temp_missing,0.0
temp_delta,0.0
dbp_delta,0.0
