feature,importance_gain
previous_hospital_admissions,0.16673113
previous_ed_visits,0.12632923
hr_current,0.08024172
cardiovascular_history,0.07785227
sbp_arrival,0.05625706
spo2_arrival,0.043115407
text_pca_0,0.043114968
dbp_arrival,0.042399753
text_pca_4,0.041811306
text_pca_7,0.03884058
text_pca_5,0.034935143
text_pca_2,0.031301383
renal_history,0.028792119
text_pca_6,0.02713074
text_pca_1,0.025384596
age,0.023453308
text_pca_3,0.022878977
hr_arrival,0.021690411
rr_arrival,0.019390443
temp_arrival,0.01570616
information_completeness,0.015243615
sbp_current,0.0048189703
time_elapsed_minutes,0.0042794636
temp_current,0.0031725748
spo2_current,0.0018971841
rr_current,0.0016516076
dbp_current,0.0011228787
sex,0.00045705197
previous_icu_admissions,0.0
neurological_history,0.0
malignancy_history,0.0
respiratory_history,0.0
diabetes_history,0.0
hr_delta,0.0
hr_missing,0.0
rr_missing,0.0
rr_delta,0.0
sbp_delta,0.0
sbp_missing,0.0
spo2_missing,0.0
spo2_delta,0.0
temp_delta,0.0
temp_missing,0.0
dbp_missing,0.0
dbp_delta,0.0
